ORIGIN_AIRPORT_NUMBER,ORIGIN_AIRPORT
22,Bemidji Regional Airport
92,Falls International Airport
188,Minot International Airport
263,Sloulin Field International Airport
95,Ford Airport
35,Brainerd Lakes Regional Airport
111,Grand Forks International Airport
236,Rhinelander-Oneida County Airport
76,Dickinson Theodore Roosevelt Regional Airport
282,Trenton Mercer Airport
283,Tri-Cities Airport
233,Redding Municipal Airport
242,Rogue Valley International Airport
11,Arcata Airport
100,Friedman Memorial Airport
172,Mammoth Yosemite Airport
69,Del Norte County Airport (Jack McNamara Field)
267,Southwest Oregon Regional Airport (North Bend Municipal)
153,Lafayette Regional Airport
259,Shreveport Regional Airport
131,Idaho Falls Regional Airport
310,Yellowstone Regional Airport
198,Natrona County International Airport
108,Gillette-Campbell County Airport
155,Laramie Regional Airport
125,Helena Regional Airport
113,Great Falls International Airport
123,Hays Regional Airport
75,Devils Lake Regional Airport
241,Rock Springs-Sweetwater County Airport
138,Jamestown Regional Airport
226,Pueblo Memorial Airport
271,St. George Regional Airport
200,Newport News/Williamsburg International Airport
24,Bethel Airport
3,Adak Airport
184,Merle K. (Mudhole) Smith Airport
149,Kodiak Airport
171,Magic Valley Regional Airport (Joslin Field)
85,Elko Regional Airport
23,Bert Mooney Airport
222,Pocatello Regional Airport
160,Lewiston-Nez Perce County Airport
290,Valdez Airport
42,Cedar City Regional Airport
40,Canyonlands Field
175,McAllen-Miller International Airport (McAllen Miller International)
275,Tallahassee International Airport
118,Gulfport-Biloxi International Airport
73,Destin-Fort Walton Beach Airport/Eglin AFB
20,Baton Rouge Metropolitan Airport
36,Brownsville/South Padre Island International Airport
62,Corpus Christi International Airport
287,Tyler Pounds Regional Airport
191,Monroe Regional Airport
157,Lawton-Fort Sill Regional Airport
122,Hattiesburg-Laurel Regional Airport
193,Montgomery Regional Airport
133,Jack Brooks Regional Airport (Southeast Texas Regional)
183,Meridian Regional Airport
83,Easterwood Airport
298,Wichita Falls Municipal Airport/Sheppard AFB
247,San Angelo Regional Airport (Mathis Field)
156,Laredo International Airport
8,Alexandria International Airport
82,East Texas Regional Airport
148,Killeen-Fort Hood Regional Airport
154,Lake Charles Regional Airport
97,Fort Smith Regional Airport
1,Abilene Regional Airport
141,Joplin Regional Airport
278,Texarkana Regional Airport (Webb Field)
293,Waco Regional Airport
44,Central Nebraska Regional Airport
244,Roswell International Air Center
102,Garden City Regional Airport
306,Wrangell Airport
228,Rafael Hernández Airport
15,Atlantic City International Airport
12,Arnold Palmer Regional Airport
182,Mercedita Airport
305,Worcester Regional Airport
273,Stewart International Airport
303,Wilmington Airport
164,Long Island MacArthur Airport
207,Northwest Florida Beaches International Airport
196,Myrtle Beach International Airport
221,Plattsburgh International Airport
201,Niagara Falls International Airport
70,Delta County Airport
214,Pellston Regional Airport of Emmet County
53,Chippewa County International Airport
9,Alpena County Regional Airport
126,Henry E. Rohlsen Airport
304,Wilmington International Airport
180,Melbourne International Airport
67,Daytona Beach International Airport
284,Tri-Cities Regional Airport
147,Key West International Airport
101,Gainesville Regional Airport
93,Fayetteville Regional Airport
16,Augusta Regional Airport (Bush Field)
6,Albert J. Ellis Airport
77,Dothan Regional Airport
291,Valdosta Regional Airport
37,Brunswick Golden Isles Airport
61,Columbus Metropolitan Airport
58,Coastal Carolina Regional Airport (Craven County Regional)
110,Golden Triangle Regional Airport
266,Southwest Georgia Regional Airport
158,Lea County Regional Airport
292,Valley International Airport
205,Northeast Florida Regional Airport (St. Augustine Airport)
