DESTINATION_AIRPORT_NUMBER,DESTINATION_AIRPORT
33,Bozeman Yellowstone International Airport (Gallatin Field Airport)
308,Yampa Valley Airport (Yampa Valley Regional)
51,Chicago Midway International Airport
104,General Mitchell International Airport
32,Boise Airport (Boise Air Terminal)
212,Palm Beach International Airport
81,Eagle County Regional Airport
223,Port Columbus International Airport
132,Indianapolis International Airport
197,Nashville International Airport
229,Raleigh-Durham International Airport
220,Pittsburgh International Airport
181,Memphis International Airport
57,Cleveland Hopkins International Airport
127,Hilo International Airport
177,McClellan-Palomar Airport
14,Aspen-Pitkin County Airport
84,El Paso International Airport
192,Monterey Regional Airport (Monterey Peninsula Airport)
235,Reno/Tahoe International Airport
253,Santa Fe Municipal Airport
251,San Luis Obispo County Regional Airport (McChesney Field)
89,Eugene Airport (Mahlon Sweet Field)
254,Santa Maria Public Airport (Capt G. Allan Hancock Field)
297,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport)
234,Redmond Municipal Airport (Roberts Field)
301,Will Rogers World Airport
194,Montrose Regional Airport
64,Dallas Love Field
302,William P. Hobby Airport
72,Des Moines International Airport
311,Yuma International Airport
94,Flagstaff Pulliam Airport
112,Grand Junction Regional Airport (Walker Field)
80,Durango-La Plata County Airport
179,Meadows Field
25,Bill and Hillary Clinton National Airport (Adams Field)
167,Louisville International Airport (Standiford Field)
286,Tulsa International Airport
38,Buffalo Niagara International Airport
152,LaGuardia Airport (Marine Air Terminal)
265,Southwest Florida International Airport
26,Billings Logan International Airport
107,Gerald R. Ford International Airport
226,Pueblo Memorial Airport
29,Bismarck Municipal Airport
138,Jamestown Regional Airport
109,Glacier Park International Airport
227,Quad City International Airport
124,Hector International Airport
269,Springfield-Branson National Airport
189,Missoula International Airport
186,Midland International Airport
260,Sioux Falls Regional Airport
188,Minot International Airport
232,Rapid City Regional Airport
27,Birmingham-Shuttlesworth International Airport
113,Great Falls International Airport
271,St. George Regional Airport
108,Gillette-Campbell County Airport
198,Natrona County International Airport
100,Friedman Memorial Airport
123,Hays Regional Airport
131,Idaho Falls Regional Airport
283,Tri-Cities Airport
242,Rogue Valley International Airport
279,The Eastern Iowa Airport
241,Rock Springs-Sweetwater County Airport
155,Laramie Regional Airport
238,Rick Husband Amarillo International Airport
162,Lincoln Airport (Lincoln Municipal)
66,Dane County Regional Airport
310,Yellowstone Regional Airport
105,General Wayne A. Downing Peoria International Airport
125,Helena Regional Airport
172,Mammoth Yosemite Airport
137,James M. Cox Dayton International Airport
263,Sloulin Field International Airport
153,Lafayette Regional Airport
206,Northwest Arkansas Regional Airport
130,Huntsville International Airport
259,Shreveport Regional Airport
168,Lubbock Preston Smith International Airport
119,Gunnison-Crested Butte Regional Airport
76,Dickinson Theodore Roosevelt Regional Airport
178,McGhee Tyson Airport
200,Newport News/Williamsburg International Airport
43,Central Illinois Regional Airport at Bloomington-Normal
120,Harrisburg International Airport
219,Piedmont Triad International Airport
4,Akron-Canton Regional Airport
136,Jacksonville International Airport
34,Bradley International Airport
42,Cedar City Regional Airport
40,Canyonlands Field
23,Bert Mooney Airport
222,Pocatello Regional Airport
290,Valdez Airport
85,Elko Regional Airport
171,Magic Valley Regional Airport (Joslin Field)
160,Lewiston-Nez Perce County Airport
28,Bishop International Airport
5,Albany International Airport
169,Luis Muñoz Marín International Airport
63,Cyril E. King Airport
228,Rafael Hernández Airport
274,Syracuse Hancock International Airport
46,Charleston International Airport/Charleston AFB
256,Savannah/Hilton Head International Airport
280,Theodore Francis Green State Airport
13,Asheville Regional Airport
116,Greenville-Spartanburg International Airport
237,Richmond International Airport
264,South Bend International Airport (South Bend Regional)
114,Greater Rochester International Airport
203,Norfolk International Airport
225,Portland International Jetport
39,Burlington International Airport
300,Wilkes-Barre/Scranton International Airport
